transaction_id,kept_order_id,trashed_order_id
4444117,24660,25066
4444117,24660,25123
4444117,24660,25172
4444117,24660,25221
4444117,24660,25270
4444117,24660,25319
4444082,24661,24710
4444082,24661,24759
4444082,24661,24822
4444082,24661,24871
4444082,24661,24920
4444082,24661,24969
4444082,24661,25018
4444082,24661,25067
4444082,24661,25124
4444082,24661,25173
4444082,24661,25222
4444082,24661,25271
4444082,24661,25320
4443922,24662,24711
4443922,24662,24760
4443922,24662,24823
4443922,24662,24872
4443922,24662,24921
4443922,24662,24970
4443922,24662,25019
4443922,24662,25068
4443922,24662,25125
4443922,24662,25174
4443922,24662,25223
4443922,24662,25272
4443922,24662,25321
4443280,24663,24712
4443280,24663,24761
4443280,24663,24824
4443280,24663,24873
4443280,24663,24922
4443280,24663,24971
4443280,24663,25020
4443280,24663,25069
4443280,24663,25126
4443280,24663,25175
4443280,24663,25224
4443280,24663,25273
4443280,24663,25322
4440545,24665,24714
4440545,24665,24763
4440545,24665,24826
4440545,24665,24875
4440545,24665,24924
4440545,24665,24973
4440545,24665,25022
4440545,24665,25071
4440545,24665,25128
4440545,24665,25177
4440545,24665,25226
4440545,24665,25275
4440545,24665,25324
4439443,24666,24715
4439443,24666,24764
4439443,24666,24827
4439443,24666,24876
4439443,24666,24925
4439443,24666,24974
4439443,24666,25023
4439443,24666,25072
4439443,24666,25129
4439443,24666,25178
4439443,24666,25227
4439443,24666,25276
4439443,24666,25325
4436599,24667,24716
4436599,24667,24765
4436599,24667,24828
4436599,24667,24877
4436599,24667,24926
4436599,24667,24975
4436599,24667,25024
4436599,24667,25073
4436599,24667,25130
4436599,24667,25179
4436599,24667,25228
4436599,24667,25277
4436599,24667,25326
4436578,24668,24717
4436578,24668,24766
4436578,24668,24829
4436578,24668,24878
4436578,24668,24927
4436578,24668,24976
4436578,24668,25025
4436578,24668,25074
4436578,24668,25131
4436578,24668,25180
4436578,24668,25229
4436578,24668,25278
4436578,24668,25327
4440696,24664,24713
4440696,24664,24762
4440696,24664,24825
4440696,24664,24874
4440696,24664,24923
4440696,24664,24972
4440696,24664,25021
4440696,24664,25070
4440696,24664,25127
4440696,24664,25176
4440696,24664,25225
4440696,24664,25274
4440696,24664,25323
4436046,24669,24718
4436046,24669,24767
4436046,24669,24830
4436046,24669,24879
4436046,24669,24928
4436046,24669,24977
4436046,24669,25026
4436046,24669,25075
4436046,24669,25132
4436046,24669,25181
4436046,24669,25230
4436046,24669,25279
4436046,24669,25328
4432621,24670,24719
4432621,24670,24768
4432621,24670,24831
4432621,24670,24880
4432621,24670,24929
4432621,24670,24978
4432621,24670,25027
4432621,24670,25076
4432621,24670,25133
4432621,24670,25182
4432621,24670,25231
4432621,24670,25280
4432621,24670,25329
4432418,24671,24720
4432418,24671,24769
4432418,24671,24832
4432418,24671,24881
4432418,24671,24930
4432418,24671,24979
4432418,24671,25028
4432418,24671,25077
4432418,24671,25134
4432418,24671,25183
4432418,24671,25232
4432418,24671,25281
4432418,24671,25330
4431739,24672,24721
4431739,24672,24770
4431739,24672,24833
4431739,24672,24882
4431739,24672,24931
4431739,24672,24980
4431739,24672,25029
4431739,24672,25078
4431739,24672,25135
4431739,24672,25184
4431739,24672,25233
4431739,24672,25282
4431739,24672,25331
4430079,24673,24722
4430079,24673,24771
4430079,24673,24834
4430079,24673,24883
4430079,24673,24932
4430079,24673,24981
4430079,24673,25030
4430079,24673,25079
4430079,24673,25136
4430079,24673,25185
4430079,24673,25234
4430079,24673,25283
4430079,24673,25332
4426598,24674,24723
4426598,24674,24772
4426598,24674,24835
4426598,24674,24884
4426598,24674,24933
4426598,24674,24982
4426598,24674,25031
4426598,24674,25080
4426598,24674,25137
4426598,24674,25186
4426598,24674,25235
4426598,24674,25284
4426598,24674,25333
4445673,24654,24703
4445673,24654,24752
4445673,24654,24815
4445673,24654,24864
4445673,24654,24913
4445673,24654,24962
4445673,24654,25011
4445673,24654,25060
4445673,24654,25117
4445673,24654,25166
4445673,24654,25215
4445673,24654,25264
4445673,24654,25313
